band,task,vocab_item,category,example_sentence
8,1,considerably stabilise,trend/description,The line graph illustrates how the figure considerably stabilise between 2000 and 2010.
8,1,considerably stagnate,trend/description,"Looking at the statistics, the amount considerably stagnate throughout the period."
8,1,considerably surge,trend/description,The diagram makes it clear that the percentage considerably surge over time.
8,1,marginally decline,trend/description,The chart shows that the figure marginally decline over the period.
8,1,marginally deteriorate,trend/description,"Overall, the number marginally deteriorate during the time shown."
8,1,marginally drop off,trend/description,"As can be seen from the graph, the percentage marginally drop off over these years."
8,1,marginally escalate,trend/description,"According to the table, the value marginally escalate in the final year."
8,1,marginally fluctuate,trend/description,"Over the whole period, the proportion marginally fluctuate compared with the beginning."
8,1,marginally peak,trend/description,The line graph illustrates how the figure marginally peak between 2000 and 2010.
8,1,marginally plateau,trend/description,"Looking at the statistics, the amount marginally plateau throughout the period."
8,1,marginally stabilise,trend/description,The diagram makes it clear that the percentage marginally stabilise over time.
8,1,marginally stagnate,trend/description,The chart shows that the figure marginally stagnate over the period.
8,1,marginally surge,trend/description,"Overall, the number marginally surge during the time shown."
8,1,noticeably decline,trend/description,"As can be seen from the graph, the percentage noticeably decline over these years."
8,1,noticeably deteriorate,trend/description,"According to the table, the value noticeably deteriorate in the final year."
8,1,noticeably drop off,trend/description,"Over the whole period, the proportion noticeably drop off compared with the beginning."
8,1,noticeably escalate,trend/description,The line graph illustrates how the figure noticeably escalate between 2000 and 2010.
8,1,noticeably fluctuate,trend/description,"Looking at the statistics, the amount noticeably fluctuate throughout the period."
8,1,noticeably peak,trend/description,The diagram makes it clear that the percentage noticeably peak over time.
8,1,noticeably plateau,trend/description,The chart shows that the figure noticeably plateau over the period.
8,1,noticeably stabilise,trend/description,"Overall, the number noticeably stabilise during the time shown."
8,1,noticeably stagnate,trend/description,"As can be seen from the graph, the percentage noticeably stagnate over these years."
8,1,noticeably surge,trend/description,"According to the table, the value noticeably surge in the final year."
8,1,steeply decline,trend/description,"Over the whole period, the proportion steeply decline compared with the beginning."
8,1,steeply deteriorate,trend/description,The line graph illustrates how the figure steeply deteriorate between 2000 and 2010.
8,1,steeply drop off,trend/description,"Looking at the statistics, the amount steeply drop off throughout the period."
8,1,steeply escalate,trend/description,The diagram makes it clear that the percentage steeply escalate over time.
8,1,steeply fluctuate,trend/description,The chart shows that the figure steeply fluctuate over the period.
8,1,steeply peak,trend/description,"Overall, the number steeply peak during the time shown."
8,1,steeply plateau,trend/description,"As can be seen from the graph, the percentage steeply plateau over these years."
8,1,steeply stabilise,trend/description,"According to the table, the value steeply stabilise in the final year."
8,1,steeply stagnate,trend/description,"Over the whole period, the proportion steeply stagnate compared with the beginning."
8,1,steeply surge,trend/description,The line graph illustrates how the figure steeply surge between 2000 and 2010.
8,1,substantially decline,trend/description,"Looking at the statistics, the amount substantially decline throughout the period."
8,1,substantially deteriorate,trend/description,The diagram makes it clear that the percentage substantially deteriorate over time.
8,1,substantially drop off,trend/description,The chart shows that the figure substantially drop off over the period.
8,1,substantially escalate,trend/description,"Overall, the number substantially escalate during the time shown."
8,1,substantially fluctuate,trend/description,"As can be seen from the graph, the percentage substantially fluctuate over these years."
8,1,substantially peak,trend/description,"According to the table, the value substantially peak in the final year."
8,1,substantially plateau,trend/description,"Over the whole period, the proportion substantially plateau compared with the beginning."
8,1,substantially stabilise,trend/description,The line graph illustrates how the figure substantially stabilise between 2000 and 2010.
8,1,substantially stagnate,trend/description,"Looking at the statistics, the amount substantially stagnate throughout the period."
8,1,substantially surge,trend/description,The diagram makes it clear that the percentage substantially surge over time.
9,1,exponentially decline,trend/description,The chart shows that the figure exponentially decline over the period.
9,1,exponentially escalate,trend/description,"Overall, the number exponentially escalate during the time shown."
9,1,exponentially fluctuate,trend/description,"As can be seen from the graph, the percentage exponentially fluctuate over these years."
9,1,exponentially peak,trend/description,"According to the table, the value exponentially peak in the final year."
9,1,exponentially plateau,trend/description,"Over the whole period, the proportion exponentially plateau compared with the beginning."
9,1,exponentially stabilise,trend/description,The line graph illustrates how the figure exponentially stabilise between 2000 and 2010.
9,1,exponentially stagnate,trend/description,"Looking at the statistics, the amount exponentially stagnate throughout the period."
9,1,exponentially subside,trend/description,The diagram makes it clear that the percentage exponentially subside over time.
9,1,exponentially surge,trend/description,The chart shows that the figure exponentially surge over the period.
9,1,exponentially tail off,trend/description,"Overall, the number exponentially tail off during the time shown."
9,1,incrementally decline,trend/description,"As can be seen from the graph, the percentage incrementally decline over these years."
9,1,incrementally escalate,trend/description,"According to the table, the value incrementally escalate in the final year."
9,1,incrementally fluctuate,trend/description,"Over the whole period, the proportion incrementally fluctuate compared with the beginning."
9,1,incrementally peak,trend/description,The line graph illustrates how the figure incrementally peak between 2000 and 2010.
9,1,incrementally plateau,trend/description,"Looking at the statistics, the amount incrementally plateau throughout the period."
9,1,incrementally stabilise,trend/description,The diagram makes it clear that the percentage incrementally stabilise over time.
9,1,incrementally stagnate,trend/description,The chart shows that the figure incrementally stagnate over the period.
9,1,incrementally subside,trend/description,"Overall, the number incrementally subside during the time shown."
9,1,incrementally surge,trend/description,"As can be seen from the graph, the percentage incrementally surge over these years."
9,1,incrementally tail off,trend/description,"According to the table, the value incrementally tail off in the final year."
9,1,marginally decline,trend/description,"Over the whole period, the proportion marginally decline compared with the beginning."
9,1,marginally escalate,trend/description,The line graph illustrates how the figure marginally escalate between 2000 and 2010.
9,1,marginally fluctuate,trend/description,"Looking at the statistics, the amount marginally fluctuate throughout the period."
9,1,marginally peak,trend/description,The diagram makes it clear that the percentage marginally peak over time.
9,1,marginally plateau,trend/description,The chart shows that the figure marginally plateau over the period.
9,1,marginally stabilise,trend/description,"Overall, the number marginally stabilise during the time shown."
9,1,marginally stagnate,trend/description,"As can be seen from the graph, the percentage marginally stagnate over these years."
9,1,marginally subside,trend/description,"According to the table, the value marginally subside in the final year."
9,1,marginally surge,trend/description,"Over the whole period, the proportion marginally surge compared with the beginning."
9,1,marginally tail off,trend/description,The line graph illustrates how the figure marginally tail off between 2000 and 2010.
9,1,markedly decline,trend/description,"Looking at the statistics, the amount markedly decline throughout the period."
9,1,markedly escalate,trend/description,The diagram makes it clear that the percentage markedly escalate over time.
9,1,markedly fluctuate,trend/description,The chart shows that the figure markedly fluctuate over the period.
9,1,markedly peak,trend/description,"Overall, the number markedly peak during the time shown."
9,1,markedly plateau,trend/description,"As can be seen from the graph, the percentage markedly plateau over these years."
9,1,markedly stabilise,trend/description,"According to the table, the value markedly stabilise in the final year."
9,1,markedly stagnate,trend/description,"Over the whole period, the proportion markedly stagnate compared with the beginning."
9,1,markedly subside,trend/description,The line graph illustrates how the figure markedly subside between 2000 and 2010.
9,1,markedly surge,trend/description,"Looking at the statistics, the amount markedly surge throughout the period."
9,1,markedly tail off,trend/description,The diagram makes it clear that the percentage markedly tail off over time.
9,1,precipitously decline,trend/description,The chart shows that the figure precipitously decline over the period.
9,1,precipitously escalate,trend/description,"Overall, the number precipitously escalate during the time shown."
9,1,precipitously fluctuate,trend/description,"As can be seen from the graph, the percentage precipitously fluctuate over these years."
9,1,precipitously peak,trend/description,"According to the table, the value precipitously peak in the final year."
9,1,precipitously plateau,trend/description,"Over the whole period, the proportion precipitously plateau compared with the beginning."
9,1,precipitously stabilise,trend/description,The line graph illustrates how the figure precipitously stabilise between 2000 and 2010.
9,1,precipitously stagnate,trend/description,"Looking at the statistics, the amount precipitously stagnate throughout the period."
9,1,precipitously subside,trend/description,The diagram makes it clear that the percentage precipitously subside over time.
9,1,precipitously surge,trend/description,The chart shows that the figure precipitously surge over the period.
9,1,precipitously tail off,trend/description,"Overall, the number precipitously tail off during the time shown."
1,2,First,cohesion/argument,"For example: ""First, governments should invest more in public transport."""
1,2,"First, also",cohesion/argument,"A strong opening sentence might be: ""First, also, governments should invest more in public transport."""
1,2,"First, and",cohesion/argument,"In a formal essay, you could write: ""First, and, governments should invest more in public transport."""
1,2,"First, because of this",cohesion/argument,"One way to begin a body paragraph is: ""First, because of this, governments should invest more in public transport."""
1,2,"First, but",cohesion/argument,"When introducing an opinion, candidates often write: ""First, but, governments should invest more in public transport."""
1,2,"First, for example",cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""First, for example"" to present their view."
1,2,"First, for instance",cohesion/argument,"""First, for instance"" is a useful expression when arguing that governments should invest in public transport."
1,2,"First, however",cohesion/argument,"Writers can use ""First, however"" to connect ideas about funding public transport."
1,2,"First, in general",cohesion/argument,"In essays about public transport, students often write ""First, in general"" to link their reasons."
1,2,"First, overall",cohesion/argument,"In academic writing, ""First, overall"" helps to make arguments about public transport more coherent."
1,2,"First, so",cohesion/argument,"For example: ""First, so, governments should invest more in public transport."""
1,2,I believe,cohesion/argument,"A strong opening sentence might be: ""I believe, governments should invest more in public transport."""
1,2,"I believe, also",cohesion/argument,"In a formal essay, you could write: ""I believe, also, governments should invest more in public transport."""
1,2,"I believe, and",cohesion/argument,"One way to begin a body paragraph is: ""I believe, and, governments should invest more in public transport."""
1,2,"I believe, because of this",cohesion/argument,"When introducing an opinion, candidates often write: ""I believe, because of this, governments should invest more in public transport."""
1,2,"I believe, but",cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""I believe, but"" to present their view."
1,2,"I believe, for example",cohesion/argument,"""I believe, for example"" is a useful expression when arguing that governments should invest in public transport."
1,2,"I believe, for instance",cohesion/argument,"Writers can use ""I believe, for instance"" to connect ideas about funding public transport."
1,2,"I believe, however",cohesion/argument,"In essays about public transport, students often write ""I believe, however"" to link their reasons."
1,2,"I believe, in general",cohesion/argument,"In academic writing, ""I believe, in general"" helps to make arguments about public transport more coherent."
1,2,"I believe, overall",cohesion/argument,"For example: ""I believe, overall, governments should invest more in public transport."""
1,2,"I believe, so",cohesion/argument,"A strong opening sentence might be: ""I believe, so, governments should invest more in public transport."""
1,2,I think,cohesion/argument,"In a formal essay, you could write: ""I think, governments should invest more in public transport."""
1,2,"I think, also",cohesion/argument,"One way to begin a body paragraph is: ""I think, also, governments should invest more in public transport."""
1,2,"I think, and",cohesion/argument,"When introducing an opinion, candidates often write: ""I think, and, governments should invest more in public transport."""
1,2,"I think, because of this",cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""I think, because of this"" to present their view."
1,2,"I think, but",cohesion/argument,"""I think, but"" is a useful expression when arguing that governments should invest in public transport."
1,2,"I think, for example",cohesion/argument,"Writers can use ""I think, for example"" to connect ideas about funding public transport."
1,2,"I think, for instance",cohesion/argument,"In essays about public transport, students often write ""I think, for instance"" to link their reasons."
1,2,"I think, however",cohesion/argument,"In academic writing, ""I think, however"" helps to make arguments about public transport more coherent."
1,2,"I think, in general",cohesion/argument,"For example: ""I think, in general, governments should invest more in public transport."""
1,2,"I think, overall",cohesion/argument,"A strong opening sentence might be: ""I think, overall, governments should invest more in public transport."""
1,2,"I think, so",cohesion/argument,"In a formal essay, you could write: ""I think, so, governments should invest more in public transport."""
1,2,In conclusion,cohesion/argument,"One way to begin a body paragraph is: ""In conclusion, governments should invest more in public transport."""
1,2,"In conclusion, also",cohesion/argument,"When introducing an opinion, candidates often write: ""In conclusion, also, governments should invest more in public transport."""
1,2,"In conclusion, and",cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""In conclusion, and"" to present their view."
1,2,"In conclusion, because of this",cohesion/argument,"""In conclusion, because of this"" is a useful expression when arguing that governments should invest in public transport."
1,2,"In conclusion, but",cohesion/argument,"Writers can use ""In conclusion, but"" to connect ideas about funding public transport."
1,2,"In conclusion, for example",cohesion/argument,"In essays about public transport, students often write ""In conclusion, for example"" to link their reasons."
1,2,"In conclusion, for instance",cohesion/argument,"In academic writing, ""In conclusion, for instance"" helps to make arguments about public transport more coherent."
1,2,"In conclusion, however",cohesion/argument,"For example: ""In conclusion, however, governments should invest more in public transport."""
1,2,"In conclusion, in general",cohesion/argument,"A strong opening sentence might be: ""In conclusion, in general, governments should invest more in public transport."""
1,2,"In conclusion, overall",cohesion/argument,"In a formal essay, you could write: ""In conclusion, overall, governments should invest more in public transport."""
1,2,"In conclusion, so",cohesion/argument,"One way to begin a body paragraph is: ""In conclusion, so, governments should invest more in public transport."""
1,2,In my opinion,cohesion/argument,"When introducing an opinion, candidates often write: ""In my opinion, governments should invest more in public transport."""
1,2,"In my opinion, also",cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""In my opinion, also"" to present their view."
1,2,"In my opinion, and",cohesion/argument,"""In my opinion, and"" is a useful expression when arguing that governments should invest in public transport."
1,2,"In my opinion, because of this",cohesion/argument,"Writers can use ""In my opinion, because of this"" to connect ideas about funding public transport."
1,2,"In my opinion, but",cohesion/argument,"In essays about public transport, students often write ""In my opinion, but"" to link their reasons."
1,2,"In my opinion, for example",cohesion/argument,"In academic writing, ""In my opinion, for example"" helps to make arguments about public transport more coherent."
2,2,Finally,cohesion/argument,"For example: ""Finally, governments should invest more in public transport."""
2,2,"Finally, also",cohesion/argument,"A strong opening sentence might be: ""Finally, also, governments should invest more in public transport."""
2,2,"Finally, as a result",cohesion/argument,"In a formal essay, you could write: ""Finally, as a result, governments should invest more in public transport."""
2,2,"Finally, because",cohesion/argument,"One way to begin a body paragraph is: ""Finally, because, governments should invest more in public transport."""
2,2,"Finally, for example",cohesion/argument,"When introducing an opinion, candidates often write: ""Finally, for example, governments should invest more in public transport."""
2,2,"Finally, for instance",cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""Finally, for instance"" to present their view."
2,2,"Finally, however",cohesion/argument,"""Finally, however"" is a useful expression when arguing that governments should invest in public transport."
2,2,"Finally, in addition",cohesion/argument,"Writers can use ""Finally, in addition"" to connect ideas about funding public transport."
2,2,"Finally, moreover",cohesion/argument,"In essays about public transport, students often write ""Finally, moreover"" to link their reasons."
2,2,"Finally, on the other hand",cohesion/argument,"In academic writing, ""Finally, on the other hand"" helps to make arguments about public transport more coherent."
2,2,"Finally, therefore",cohesion/argument,"For example: ""Finally, therefore, governments should invest more in public transport."""
2,2,Firstly,cohesion/argument,"A strong opening sentence might be: ""Firstly, governments should invest more in public transport."""
2,2,"Firstly, also",cohesion/argument,"In a formal essay, you could write: ""Firstly, also, governments should invest more in public transport."""
2,2,"Firstly, as a result",cohesion/argument,"One way to begin a body paragraph is: ""Firstly, as a result, governments should invest more in public transport."""
2,2,"Firstly, because",cohesion/argument,"When introducing an opinion, candidates often write: ""Firstly, because, governments should invest more in public transport."""
2,2,"Firstly, for example",cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""Firstly, for example"" to present their view."
2,2,"Firstly, for instance",cohesion/argument,"""Firstly, for instance"" is a useful expression when arguing that governments should invest in public transport."
2,2,"Firstly, however",cohesion/argument,"Writers can use ""Firstly, however"" to connect ideas about funding public transport."
2,2,"Firstly, in addition",cohesion/argument,"In essays about public transport, students often write ""Firstly, in addition"" to link their reasons."
2,2,"Firstly, moreover",cohesion/argument,"In academic writing, ""Firstly, moreover"" helps to make arguments about public transport more coherent."
2,2,"Firstly, on the other hand",cohesion/argument,"For example: ""Firstly, on the other hand, governments should invest more in public transport."""
2,2,"Firstly, therefore",cohesion/argument,"A strong opening sentence might be: ""Firstly, therefore, governments should invest more in public transport."""
2,2,From my perspective,cohesion/argument,"In a formal essay, you could write: ""From my perspective, governments should invest more in public transport."""
2,2,"From my perspective, also",cohesion/argument,"One way to begin a body paragraph is: ""From my perspective, also, governments should invest more in public transport."""
2,2,"From my perspective, as a result",cohesion/argument,"When introducing an opinion, candidates often write: ""From my perspective, as a result, governments should invest more in public transport."""
2,2,"From my perspective, because",cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""From my perspective, because"" to present their view."
2,2,"From my perspective, for example",cohesion/argument,"""From my perspective, for example"" is a useful expression when arguing that governments should invest in public transport."
2,2,"From my perspective, for instance",cohesion/argument,"Writers can use ""From my perspective, for instance"" to connect ideas about funding public transport."
2,2,"From my perspective, however",cohesion/argument,"In essays about public transport, students often write ""From my perspective, however"" to link their reasons."
2,2,"From my perspective, in addition",cohesion/argument,"In academic writing, ""From my perspective, in addition"" helps to make arguments about public transport more coherent."
2,2,"From my perspective, moreover",cohesion/argument,"For example: ""From my perspective, moreover, governments should invest more in public transport."""
2,2,"From my perspective, on the other hand",cohesion/argument,"A strong opening sentence might be: ""From my perspective, on the other hand, governments should invest more in public transport."""
2,2,"From my perspective, therefore",cohesion/argument,"In a formal essay, you could write: ""From my perspective, therefore, governments should invest more in public transport."""
2,2,In contrast,cohesion/argument,"One way to begin a body paragraph is: ""In contrast, governments should invest more in public transport."""
2,2,"In contrast, also",cohesion/argument,"When introducing an opinion, candidates often write: ""In contrast, also, governments should invest more in public transport."""
2,2,"In contrast, as a result",cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""In contrast, as a result"" to present their view."
2,2,"In contrast, because",cohesion/argument,"""In contrast, because"" is a useful expression when arguing that governments should invest in public transport."
2,2,"In contrast, for example",cohesion/argument,"Writers can use ""In contrast, for example"" to connect ideas about funding public transport."
2,2,"In contrast, for instance",cohesion/argument,"In essays about public transport, students often write ""In contrast, for instance"" to link their reasons."
2,2,"In contrast, however",cohesion/argument,"In academic writing, ""In contrast, however"" helps to make arguments about public transport more coherent."
2,2,"In contrast, in addition",cohesion/argument,"For example: ""In contrast, in addition, governments should invest more in public transport."""
2,2,"In contrast, moreover",cohesion/argument,"A strong opening sentence might be: ""In contrast, moreover, governments should invest more in public transport."""
2,2,"In contrast, on the other hand",cohesion/argument,"In a formal essay, you could write: ""In contrast, on the other hand, governments should invest more in public transport."""
2,2,"In contrast, therefore",cohesion/argument,"One way to begin a body paragraph is: ""In contrast, therefore, governments should invest more in public transport."""
2,2,In my view,cohesion/argument,"When introducing an opinion, candidates often write: ""In my view, governments should invest more in public transport."""
2,2,"In my view, also",cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""In my view, also"" to present their view."
2,2,"In my view, as a result",cohesion/argument,"""In my view, as a result"" is a useful expression when arguing that governments should invest in public transport."
2,2,"In my view, because",cohesion/argument,"Writers can use ""In my view, because"" to connect ideas about funding public transport."
2,2,"In my view, for example",cohesion/argument,"In essays about public transport, students often write ""In my view, for example"" to link their reasons."
2,2,"In my view, for instance",cohesion/argument,"In academic writing, ""In my view, for instance"" helps to make arguments about public transport more coherent."
3,2,From my point of view,cohesion/argument,"For example: ""From my point of view, governments should invest more in public transport."""
3,2,"From my point of view, as a result",cohesion/argument,"A strong opening sentence might be: ""From my point of view, as a result, governments should invest more in public transport."""
3,2,"From my point of view, for example",cohesion/argument,"In a formal essay, you could write: ""From my point of view, for example, governments should invest more in public transport."""
3,2,"From my point of view, for instance",cohesion/argument,"One way to begin a body paragraph is: ""From my point of view, for instance, governments should invest more in public transport."""
3,2,"From my point of view, however",cohesion/argument,"When introducing an opinion, candidates often write: ""From my point of view, however, governments should invest more in public transport."""
3,2,"From my point of view, in addition",cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""From my point of view, in addition"" to present their view."
3,2,"From my point of view, in particular",cohesion/argument,"""From my point of view, in particular"" is a useful expression when arguing that governments should invest in public transport."
3,2,"From my point of view, nevertheless",cohesion/argument,"Writers can use ""From my point of view, nevertheless"" to connect ideas about funding public transport."
3,2,"From my point of view, on the other hand",cohesion/argument,"In essays about public transport, students often write ""From my point of view, on the other hand"" to link their reasons."
3,2,"From my point of view, such as",cohesion/argument,"In academic writing, ""From my point of view, such as"" helps to make arguments about public transport more coherent."
3,2,"From my point of view, therefore",cohesion/argument,"For example: ""From my point of view, therefore, governments should invest more in public transport."""
3,2,In conclusion,cohesion/argument,"A strong opening sentence might be: ""In conclusion, governments should invest more in public transport."""
3,2,"In conclusion, as a result",cohesion/argument,"In a formal essay, you could write: ""In conclusion, as a result, governments should invest more in public transport."""
3,2,"In conclusion, for example",cohesion/argument,"One way to begin a body paragraph is: ""In conclusion, for example, governments should invest more in public transport."""
3,2,"In conclusion, for instance",cohesion/argument,"When introducing an opinion, candidates often write: ""In conclusion, for instance, governments should invest more in public transport."""
3,2,"In conclusion, however",cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""In conclusion, however"" to present their view."
3,2,"In conclusion, in addition",cohesion/argument,"""In conclusion, in addition"" is a useful expression when arguing that governments should invest in public transport."
3,2,"In conclusion, in particular",cohesion/argument,"Writers can use ""In conclusion, in particular"" to connect ideas about funding public transport."
3,2,"In conclusion, nevertheless",cohesion/argument,"In essays about public transport, students often write ""In conclusion, nevertheless"" to link their reasons."
3,2,"In conclusion, on the other hand",cohesion/argument,"In academic writing, ""In conclusion, on the other hand"" helps to make arguments about public transport more coherent."
3,2,"In conclusion, such as",cohesion/argument,"For example: ""In conclusion, such as, governments should invest more in public transport."""
3,2,"In conclusion, therefore",cohesion/argument,"A strong opening sentence might be: ""In conclusion, therefore, governments should invest more in public transport."""
3,2,In general,cohesion/argument,"In a formal essay, you could write: ""In general, governments should invest more in public transport."""
3,2,"In general, as a result",cohesion/argument,"One way to begin a body paragraph is: ""In general, as a result, governments should invest more in public transport."""
3,2,"In general, for example",cohesion/argument,"When introducing an opinion, candidates often write: ""In general, for example, governments should invest more in public transport."""
3,2,"In general, for instance",cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""In general, for instance"" to present their view."
3,2,"In general, however",cohesion/argument,"""In general, however"" is a useful expression when arguing that governments should invest in public transport."
3,2,"In general, in addition",cohesion/argument,"Writers can use ""In general, in addition"" to connect ideas about funding public transport."
3,2,"In general, in particular",cohesion/argument,"In essays about public transport, students often write ""In general, in particular"" to link their reasons."
3,2,"In general, nevertheless",cohesion/argument,"In academic writing, ""In general, nevertheless"" helps to make arguments about public transport more coherent."
3,2,"In general, on the other hand",cohesion/argument,"For example: ""In general, on the other hand, governments should invest more in public transport."""
3,2,"In general, such as",cohesion/argument,"A strong opening sentence might be: ""In general, such as, governments should invest more in public transport."""
3,2,"In general, therefore",cohesion/argument,"In a formal essay, you could write: ""In general, therefore, governments should invest more in public transport."""
3,2,In summary,cohesion/argument,"One way to begin a body paragraph is: ""In summary, governments should invest more in public transport."""
3,2,"In summary, as a result",cohesion/argument,"When introducing an opinion, candidates often write: ""In summary, as a result, governments should invest more in public transport."""
3,2,"In summary, for example",cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""In summary, for example"" to present their view."
3,2,"In summary, for instance",cohesion/argument,"""In summary, for instance"" is a useful expression when arguing that governments should invest in public transport."
3,2,"In summary, however",cohesion/argument,"Writers can use ""In summary, however"" to connect ideas about funding public transport."
3,2,"In summary, in addition",cohesion/argument,"In essays about public transport, students often write ""In summary, in addition"" to link their reasons."
3,2,"In summary, in particular",cohesion/argument,"In academic writing, ""In summary, in particular"" helps to make arguments about public transport more coherent."
3,2,"In summary, nevertheless",cohesion/argument,"For example: ""In summary, nevertheless, governments should invest more in public transport."""
3,2,"In summary, on the other hand",cohesion/argument,"A strong opening sentence might be: ""In summary, on the other hand, governments should invest more in public transport."""
3,2,"In summary, such as",cohesion/argument,"In a formal essay, you could write: ""In summary, such as, governments should invest more in public transport."""
3,2,"In summary, therefore",cohesion/argument,"One way to begin a body paragraph is: ""In summary, therefore, governments should invest more in public transport."""
3,2,It is clear that,cohesion/argument,"When introducing an opinion, candidates often write: ""It is clear that, governments should invest more in public transport."""
3,2,"It is clear that, as a result",cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""It is clear that, as a result"" to present their view."
3,2,"It is clear that, for example",cohesion/argument,"""It is clear that, for example"" is a useful expression when arguing that governments should invest in public transport."
3,2,"It is clear that, for instance",cohesion/argument,"Writers can use ""It is clear that, for instance"" to connect ideas about funding public transport."
3,2,"It is clear that, however",cohesion/argument,"In essays about public transport, students often write ""It is clear that, however"" to link their reasons."
3,2,"It is clear that, in addition",cohesion/argument,"In academic writing, ""It is clear that, in addition"" helps to make arguments about public transport more coherent."
4,2,acknowledge,cohesion/argument,"For example: ""acknowledge, governments should invest more in public transport."""
4,2,argue,cohesion/argument,"A strong opening sentence might be: ""argue, governments should invest more in public transport."""
4,2,broadly,cohesion/argument,"In a formal essay, you could write: ""broadly, governments should invest more in public transport."""
4,2,broadly acknowledge,cohesion/argument,"One way to begin a body paragraph is: ""broadly acknowledge, governments should invest more in public transport."""
4,2,broadly argue,cohesion/argument,"When introducing an opinion, candidates often write: ""broadly argue, governments should invest more in public transport."""
4,2,broadly claim,cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""broadly claim"" to present their view."
4,2,broadly contend,cohesion/argument,"""broadly contend"" is a useful expression when arguing that governments should invest in public transport."
4,2,broadly demonstrate,cohesion/argument,"Writers can use ""broadly demonstrate"" to connect ideas about funding public transport."
4,2,broadly emphasise,cohesion/argument,"In essays about public transport, students often write ""broadly emphasise"" to link their reasons."
4,2,broadly highlight,cohesion/argument,"In academic writing, ""broadly highlight"" helps to make arguments about public transport more coherent."
4,2,broadly illustrate,cohesion/argument,"For example: ""broadly illustrate, governments should invest more in public transport."""
4,2,broadly maintain,cohesion/argument,"A strong opening sentence might be: ""broadly maintain, governments should invest more in public transport."""
4,2,broadly suggest,cohesion/argument,"In a formal essay, you could write: ""broadly suggest, governments should invest more in public transport."""
4,2,claim,cohesion/argument,"One way to begin a body paragraph is: ""claim, governments should invest more in public transport."""
4,2,commonly,cohesion/argument,"When introducing an opinion, candidates often write: ""commonly, governments should invest more in public transport."""
4,2,commonly acknowledge,cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""commonly acknowledge"" to present their view."
4,2,commonly argue,cohesion/argument,"""commonly argue"" is a useful expression when arguing that governments should invest in public transport."
4,2,commonly claim,cohesion/argument,"Writers can use ""commonly claim"" to connect ideas about funding public transport."
4,2,commonly contend,cohesion/argument,"In essays about public transport, students often write ""commonly contend"" to link their reasons."
4,2,commonly demonstrate,cohesion/argument,"In academic writing, ""commonly demonstrate"" helps to make arguments about public transport more coherent."
4,2,commonly emphasise,cohesion/argument,"For example: ""commonly emphasise, governments should invest more in public transport."""
4,2,commonly highlight,cohesion/argument,"A strong opening sentence might be: ""commonly highlight, governments should invest more in public transport."""
4,2,commonly illustrate,cohesion/argument,"In a formal essay, you could write: ""commonly illustrate, governments should invest more in public transport."""
4,2,commonly maintain,cohesion/argument,"One way to begin a body paragraph is: ""commonly maintain, governments should invest more in public transport."""
4,2,commonly suggest,cohesion/argument,"When introducing an opinion, candidates often write: ""commonly suggest, governments should invest more in public transport."""
4,2,contend,cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""contend"" to present their view."
4,2,demonstrate,cohesion/argument,"""demonstrate"" is a useful expression when arguing that governments should invest in public transport."
4,2,emphasise,cohesion/argument,"Writers can use ""emphasise"" to connect ideas about funding public transport."
4,2,especially,cohesion/argument,"In essays about public transport, students often write ""especially"" to link their reasons."
4,2,especially acknowledge,cohesion/argument,"In academic writing, ""especially acknowledge"" helps to make arguments about public transport more coherent."
4,2,especially argue,cohesion/argument,"For example: ""especially argue, governments should invest more in public transport."""
4,2,especially claim,cohesion/argument,"A strong opening sentence might be: ""especially claim, governments should invest more in public transport."""
4,2,especially contend,cohesion/argument,"In a formal essay, you could write: ""especially contend, governments should invest more in public transport."""
4,2,especially demonstrate,cohesion/argument,"One way to begin a body paragraph is: ""especially demonstrate, governments should invest more in public transport."""
4,2,especially emphasise,cohesion/argument,"When introducing an opinion, candidates often write: ""especially emphasise, governments should invest more in public transport."""
4,2,especially highlight,cohesion/argument,"In IELTS Writing Task 2, students sometimes use the phrase ""especially highlight"" to present their view."
4,2,especially illustrate,cohesion/argument,"""especially illustrate"" is a useful expression when arguing that governments should invest in public transport."
4,2,especially maintain,cohesion/argument,"Writers can use ""especially maintain"" to connect ideas about funding public transport."
